sex,year,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
male,1850,1483789,1411067,1260099,1077133,1017281,862547,730638,588487,475911,384211,321343,194080,174976,106827,73677,40834,23449,8186,5259
female,1850,1450376,1359668,1216114,1110619,1003841,799482,639636,505012,428185,341254,286580,187208,162236,105534,71762,40229,22949,10511,6569
male,1860,2120846,1804467,1612640,1438094,1351121,1217615,1043174,866910,699434,552404,456176,292417,260887,149331,98465,56699,29007,10434,7232
female,1860,2092162,1778772,1540350,1495999,1370462,1116373,936055,737136,616826,461739,407305,267224,249735,141405,101778,57597,29506,14053,6622
male,1870,2800083,2428469,2427341,1958390,1805303,1509059,1251534,1185336,968861,852672,736387,486036,399264,260829,173364,86929,47427,15891,8649
female,1870,2717102,2393680,2342670,2077248,1909382,1574285,1275629,1137490,944401,747916,637801,407819,374801,239080,165501,89540,54190,19302,13068
male,1880,3533662,3297503,2911924,2457734,2547780,2119393,1749107,1540772,1237347,1065973,964484,679147,580298,369398,255422,141628,67526,22437,10272
female,1880,3421597,3179142,2813550,2527818,2512803,1974241,1596772,1483717,1239435,1003711,863012,594843,526956,346303,251860,143513,77290,31227,15451
male,1900,4619544,4465783,4057669,3774846,3694038,3389280,2918964,2633883,2261070,1868413,1571038,1161908,916571,672663,454747,268211,127435,44008,15164
female,1900,4589196,4390483,4001749,3801743,3751061,3236056,2665174,2347737,2004987,1648025,1411981,1064632,887508,640212,440007,265879,132449,48614,20093
male,1910,5296823,4991803,4650747,4566154,4637632,4257755,3658125,3427518,2860229,2363801,2126516,1508358,1189421,850159,557936,322679,161715,59699,23929
female,1910,5287477,4866139,4471887,4592269,4447683,3946153,3295220,3088990,2471267,2114930,1773592,1317651,1090697,813868,547623,350900,174315,62725,28965
male,1920,5934792,5789008,5401156,4724365,4549411,4565066,4110771,4081543,3321923,3143891,2546035,1880975,1587549,1095956,714618,417292,187000,75991,22398
female,1920,5694244,5693960,5293057,4779936,4742632,4529382,3982426,3713810,3059757,2669089,2200491,1674672,1382877,989901,690097,439465,211110,92829,32085
male,1930,5875250,6542592,6064820,5709452,5305992,4929853,4424408,4576531,4075139,3633152,3128108,2434077,1927564,1397275,919045,536375,246708,88978,30338
female,1930,5662530,6129561,5986529,5769587,5565382,5050229,4455213,4593776,3754022,3396558,2809191,2298614,1783515,1307312,918509,522716,283579,109210,43483
male,1940,5294628,5468378,5960416,6165109,5682414,5438166,5040048,4724804,4437392,4190187,3785735,2972069,2370232,1897678,1280023,713875,359418,127303,42263
female,1940,5124653,5359099,5868532,6193701,5896002,5664244,5171522,4791809,4394061,4050290,3488396,2810000,2317790,1911117,1287711,764915,414761,152131,58119
male,1950,8211806,6706601,5629744,5264129,5573308,6007254,5676022,5511364,5076985,4533177,4199164,3667351,3035038,2421234,1627920,1006530,511727,182821,54836
female,1950,7862267,6450863,5430835,5288742,5854227,6317332,5895178,5696261,5199224,4595842,4147295,3595158,3009768,2548250,1786831,1148469,637717,242798,90766
male,1960,10374975,9495503,8563700,6620902,5268384,5311805,5801342,6063063,5657943,5345658,4763364,4170581,3405293,2859371,2115763,1308913,619923,253245,75908
female,1960,10146999,9250741,8310764,6617493,5513495,5548259,6090862,6431337,5940520,5516028,4928844,4402878,3723839,3268699,2516479,1641371,856952,384572,135774
male,1970,8685121,10411131,10756403,9605399,7729202,6539301,5519879,5396732,5718538,5794120,5298312,4762911,4037643,3142606,2340826,1599269,886155,371123,186502
female,1970,8326887,10003293,10343538,9414284,8341830,6903041,5851441,5708021,6129319,6198742,5783817,5222164,4577251,3894827,3138009,2293376,1417553,658511,314929
male,1980,8439366,8680730,9452338,10698856,10486776,9624053,8705835,6852069,5692148,5342469,5603709,5485098,4696140,3893510,2857774,1840438,1012886,472338,204148
female,1980,8081854,8275881,9048483,10410271,10614947,9827903,8955225,7134239,5953910,5697543,6110117,6160229,5456885,4896947,3963441,2951759,1919292,1023115,499046
male,1990,9307465,9274732,8782542,9020572,9436188,10658027,11028712,9853933,8712632,6848082,5553992,4981670,4953822,4538398,3429420,2344932,1342996,588790,238459
female,1990,8894007,8799955,8337284,8590991,9152644,10587292,11105750,10038644,8928252,7115129,5899925,5460506,5663205,5594108,4610222,3723980,2545730,1419494,745146
male,2000,9735380,10552146,10563233,10237419,9731315,9659493,10205879,11475182,11320252,9925006,8507934,6459082,5123399,4453623,3792145,2912655,1902638,970357,336303
female,2000,9310714,10069564,10022524,9692669,9324244,9518507,10119296,11635647,11488578,10261253,8911133,6921268,5668961,4804784,5184855,4355644,3221898,1981156,1064581
